ResponseId,What is your age range?,What is your gender?,"What is your approximate total household investable assets? (includes checking, savings, or money market accounts and investments – excludes your primary residence and employer-sponsored retirement accounts)",Which of the following best describes your level of comfort using technology?,What is your usual method for contacting a company? - Selected Choice,What is your usual method for contacting a company? - Other - Text,"How often do you call companies for customer service (ie support, issue, order)?",Why do you typically call customer service or a company phone number? - Selected Choice,Why do you typically call customer service or a company phone number? - Other - Text,"When you call a company, do you prefer to speak to a live agent or use an voice assistant?",How would you rate your overall experience with virtual assistants when calling a company or customer service line?,"In the past, when speaking with virtual assistant for a company, did the virtual assistant accurately understand and address your needs or concerns?",How easy or difficult do you find it to communicate with a virtual assistant when calling a company?,Can you please explain what parts of the experience make it difficult?,Can you please explain what parts of the experience make it easy?,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Clarity of instructions,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ease of navigation,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Speed of response,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Accuracy of information,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ability to reach a live agent,How comfortable are you with virtual assistants that capture your information?,Can you please explain what makes you feel that way?,At what point during the conversation with the voice assistant would you prefer to speak to a live agent?,How would you rate your comfort level with an automated system handling the following tasks? - Password reset,How would you rate your comfort level with an automated system handling the following tasks? - Real-time account balance,"How would you rate your comfort level with an automated system handling the following tasks? - Account information (Direct deposit setup, routing information)",How would you rate your comfort level with an automated system handling the following tasks? - Recently cleared checks,How would you rate your comfort level with an automated system handling the following tasks? - Physical Check reorder,How would you rate your comfort level with an automated system handling the following tasks? - Stop payment on a check,How would you rate your comfort level with an automated system handling the following tasks? - Withdrawal activity,How would you rate your comfort level with an automated system handling the following tasks? - Deposit activity,How would you rate your comfort level with an automated system handling the following tasks? - Credit card payment,"How would you rate your comfort level with an automated system handling the following tasks? - Rate & Yields (Dividend interest payments, fund yield etc)",How would you rate your comfort level with an automated system handling the following tasks? - Product features and benefits,How would you rate your comfort level with an automated system handling the following tasks? - Mortgage Inquiry,"Imagine that you need to reset your password.
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your password is reset).

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need to check your account balance. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie you are told your account balance). 

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need assistance navigating the company's home page. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your questions or concerns about the home page are answered). 

Ideally, how do you envision this interaction playing out with an voice assistant?"
R_2AEio23iWsHSYRa,35-44,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Good,Kind of,Somewhat easy,,They are very understanding about my needs.,5,4,2,3,1,Somewhat comfortable,,After trying the automated system once,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,I will talk about reset my password.,Check balance voice command.,Very easy to access.
R_2PAmO3dow2YGQep,55-65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Average,Kind of,Somewhat difficult,Understanding what is being communicated,,4,5,2,3,1,Somewhat uncomfortable,Personal feeling based on prior experience,Immediately,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,A basic task that can easily be completed,A no brainer task,Prefer to speak with live agent
R_2sWS7xY7UjS7UTJ,35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a year,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Delightful,Yes,Extremely easy,,Easy to navigate ,4,1,2,5,3,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Quick response to the email ,Explain in the language I understand ,Easy to connect 
R_1DFJ1afMKPtuUeo,65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,Kind of,Neutral,,,4,5,2,3,1,Somewhat comfortable,,Only if the automated system cannot help me,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,Enables me to complete the task,I get the info promptly ,I get accurate instructions 
R_29mh0Wnh1ep9GEM,65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Neutral,,,1,3,5,2,4,Neutral,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Multiple attempts,Simple,Easy
R_YbimhKNjisYRI9b,25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Prefer a voice assistant but may speak to a live agent,Delightful,Kind of,Extremely easy,,The way they talk to me and handle business ,2,3,1,5,4,Extremely comfortable,,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,I think it would be easy and convenient ,I envision this playing out smoothly as well,I feel like it would be convenient as well
R_3nqnpKiQWWsC0vr,35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Average,Yes,Somewhat easy,,It's basically the same as before another service offered it works to a certain extent.Its press this button for this or say this prompt for that.,2,4,3,1,5,Neutral,,After trying the automated system once,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Comfortable,Neutral,Press this number for password reset say such and such information.,Press this number to check out account balance say such and such information ,Press this number if you need help navigating companies home page 
R_2TT78rw5x7rvqKf,45-54,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat difficult,Sometimes I have to reword questions to get it to understand me.,,2,3,5,1,4,Somewhat uncomfortable,I don't completely trust them.,Only if the automated system cannot help me,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Comfortable,Neutral,It woukd send me an email or text with a link to reset my password. ,I woukd ask for my balance and it would tell me. ,I woukd ask it and it woukd give me instructions. 
R_1hQlIVrd6x9e4lS,55-65,Male,"$5,000,000 - $10,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Neutral,,,2,4,5,3,1,Neutral,,Only if the automated system cannot help me,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,I won't use a voice assistant for resetting password.,Just enter my account # and the account balance will be read to me.,Multiple options were available for me to choose.
R_2xWuLwQGvHnUnEE,65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,difficult for them to understand me although I am US born by US born parents and have no accent.,,5,1,4,2,3,Neutral,,After trying the automated system once,Neutral,Comfortable,Not Comfortable,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Not Comfortable,Not Comfortable,Neutral,Neutral,"have used this service, it is all type in so you are responsible for your own entries.","have used, pick account oof list and it will talk to you and repeat or give you to an agent","I would ask for help, too many choices all labeled differently"
R_2ATibMr9bT15du0,55-65,Male,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,I never use the right key words for them to be able to help me. I usually have to get a live person somehow.,,3,2,4,5,1,Extremely uncomfortable,I never know what my information is going to used for. ,Immediately,Not Comfortable,Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Neutral,I will still be frustrated at some point because of how many quesitons the voice assistant will ask.,This should relatively easy even with a voice assistant. So it should not be too bad.,It would still be easier with a human agent.
R_1gGx96MhtfIpMeT,65,Male,"$10,000,000.00",Somewhat comfortable,Phone,,A few times a year,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,They cannot deal with anything other than simple problems,,2,5,4,3,1,Somewhat uncomfortable,This is a stupid question,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Neutral,I really have no idea,"They recognize my phone number, i input my password or PIN and they tell me my balance",I have no idea
R_3hGRizpyxBgX1BL,65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Neutral,,,4,3,2,5,1,Neutral,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,I ASK FOR A PASSWORD RESET.  THEY ASK ME THE ACCOUNT  AND THEN SEND ME A NEW PASSWOR BY EMAIL OR PHONE,I JUST ASK FOR ACCOUNT BALANCE,NOT SURE WHAT YOU MEAN
R_1gLwPFnhROMgh1J,65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,the do not understand what I am saying,,5,2,4,3,1,Somewhat uncomfortable,just an overall avoidance,Immediately,Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,okay,oksy,okay
R_27pB0f44pwHHo69,65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a year,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Average,No,Somewhat difficult,"If the problem is not one of 4 things, it can’t help you.",,2,5,1,4,3,Somewhat comfortable,,After multiple attempts with the automated system,Not Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,I would rather do it myself online.,They tell you your balance.,I can’t imagine
R_3JEoYDWMglKb8Rj,25-34,Male,"$10,000,000.00",Extremely comfortable,Email,,Daily,To ask a question about a product or service,,Always prefer a live agent,Good,Yes,Neutral,,,1,3,2,4,5,Neutral,,Immediately,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Comfortable,Good ,Comfortable ,Outstanding 
R_33vgdYicv3aojei,65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,Kind of,Somewhat difficult,they don't understand what I am trying to ask.,,5,2,4,3,1,Neutral,,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,request a password change; assistant sends an email with a reset link.,ask for ballance and assistant would give it to you,it would not take very long at all and a map wouild be provided.
R_31EDJZ6AO7uGj55,65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,The victual’s inability to understand the English language ,,1,3,4,2,5,Extremely uncomfortable,It takes too long to make them understand complex questions ,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Smooth transaction with minimal repeats,Faster and easier than speaking to a representative ,As well as with a human agent
R_24ve4Wul2CAQKem,65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,No,Somewhat difficult,Doesn't understand my questions;  gives answers not actually answering my questions.,,5,2,3,4,1,Somewhat uncomfortable,Don't trust the security of a virtual assistant,Immediately,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,I don't envision this,I wouldn't need a voice assistant to check this,I wouldn't use a voice assistant for this purpose
R_DSuCgYzoaAJEJpL,35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat easy,,I was replied in an very fine style,3,5,4,2,1,Somewhat comfortable,,Immediately,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Neutral,I believe it's very good to use,It's very good and interesting to use ,The idea is very good and nice 
R_eURDp1B3KcBTe4V,35-44,Male,"$10,000,000.00",Extremely comfortable,Online Chat,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Somewhat easy,,Most of d part ,4,2,1,5,3,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Imteracting well,Checking,Voice
R_2dK2w5ksbcWZEWA,55-65,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Phone,,A few times a month,To ask a question about a product or service,,Always prefer a live agent,Good,Kind of,Somewhat easy,,understand what I am saying.,2,3,4,5,1,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,tell me it has been done,tell me when I am done.,give me right steps to use.
R_BxiYTimUoVyvGZb,25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,Daily,To get help with a technical issue or difficulty,,Always prefer a live agent,Delightful,Yes,Extremely easy,,It is very amazing ,5,3,1,4,2,Extremely comfortable,,Immediately,Comfortable,Neutral,Neutral,Comfortable,Neutral,Neutral,Neutral,Comfortable,Neutral,Comfortable,Neutral,Neutral,I really concentrate with the service ,I really like it ,It is very amazing 
R_RQCLUpkAAmKjBL3,65,Female,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,they frequently don't understand or don't really offer an option that suits my issue,,4,5,2,3,1,Neutral,,Only if the automated system cannot help me,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Neutral,"i would opt to re-set my password on line rather than with an automated system or a human agent,.  i would have concerns about the voice assistant understanding the password info.",i think this would be fine,not well - too many variables
R_2dNioeRuCV8wVte,65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,Questions asked are not the questions answered.,,3,2,4,5,1,Neutral,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Little problem,No problem,Little problem
R_2BnD5NZf0sII1GD,55-65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Kind of,Somewhat difficult,Didnt understand what I was saying. ,,2,3,4,5,1,Somewhat comfortable,,Immediately,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,I WOULD ASK THE AGENT QYWAES STEW,I WOULD ASK A QUESTION ,I WOULD ASF DIRECTIONS.U
R_2V8AOYaniqXOIuK,65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,They don’t respond to my needs ,,2,3,4,5,1,Extremely uncomfortable,I just want to go to a live person ,Immediately,Not Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,Not good ,Fine,Poor they don’t work well 
R_25B262slsWV2OJj,35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Delightful,Yes,Somewhat easy,,It's amazing and interesting ,2,1,4,5,3,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,It's amazing and interesting ,It's a very reasonable and incredible ,Great day today 
R_2Etbtj6J2kcJX6R,65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,The virtual assistant did not understand my problem and I needed to speak with a supervisor.  My frustration level just rose when asked idiotic questions from the robocall.,,4,5,2,3,1,Somewhat uncomfortable,Why should I give confidential information to a robot?  And to whom do they turn around and sell this information?,Immediately,Not Comfortable,Neutral,Neutral,Neutral,Comfortable,Not Comfortable,Not Comfortable,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,I do not envision this scenario in my lifetime.  No way.,Good and reliable.,Good
R_3NIoVEufuZV18rK,55-65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,In person visit,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Extremely difficult,It won’t connect me Tia live person.,,5,4,2,3,1,Somewhat comfortable,,After trying the automated system once,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Taking longer,Quickly ,Depends on what my issue was before calling
R_1kRLLC4XAEBMp9E,65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Other,Depends,A few times a year,Other,All the above,Always prefer a live agent,Poor,Kind of,Somewhat difficult,Usually end up with a live person anyway,,3,2,1,4,5,Neutral,,After trying the automated system once,Comfortable,Neutral,Not Comfortable,Comfortable,Neutral,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Neutral,It send me a link to reset the PW,Verbal response from either,I speak live ASAP
R_2WNplHJt2mBAJQB,55-65,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,It seems like they never have the answer to fulfill my need.,,5,3,2,4,1,Neutral,,After trying the automated system once,Comfortable,Comfortable,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Neutral,It should be handled quickly and accurately.,It should be quick and efficient,I shouldn't have this problem
R_3ER7zBahWE60E3u,35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,Resolving customers complaints ,2,5,4,3,1,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Always resetting passwords whenever i forget it,Account balance isnt an issue but also resolved when there’s a problem ,Assistance or agencies are very helpful 
R_1NzgitRVO8TEXPw,35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer an voice assistant,Delightful,Yes,Somewhat easy,,Is really a good experience to witness,2,1,4,5,3,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,I can program my voice to reset my password,Is quite reliable and trustworthy,Is quite amazing and reliable
